30920	3.326976	10.953952	神队友
14488	7.153469	1.673904	一般般
26052	21.441871	0.805124	猪队友
75136	33.147394	0.428964	猪队友
38344	21.669788	0.134296	猪队友
72993	30.14174	1.032955	猪队友
25948	1.830792	11.213192	神队友
32666	8.276369	10.54388	神队友
67497	28.631577	0.749278	猪队友
25483	7.273169	11.508053	神队友
50242	23.723498	0.831917	猪队友
63275	28.385879	1.669485	猪队友
5569	4.875435	0.728658	一般般
51052	24.680098	0.625224	猪队友
77372	35.29957	0.331351	猪队友
43673	21.889461	0.191283	猪队友
61364	27.516754	1.269164	猪队友
69673	34.239195	0.261333	猪队友
15669	0	1.250185	一般般
18488	5.528555	11.304844	神队友
6487	3.540265	0.822483	一般般
37708	22.991551	0.83392	猪队友
22620	5.297865	0.638306	一般般
18782	1.593803	10.187108	神队友
19739	2.81676	1.686209	一般般
26788	7.458258	10.649617	神队友
5741	0	1.656418	一般般
18567	4.968648	10.731232	神队友
6808	1.364838	0.640103	一般般
41611	20.230453	1.151996	猪队友
26661	6.865402	10.88281	神队友
43605	20.12046	1.352013	猪队友
5360	3.545204	11.340429	神队友
63796	25.856649	0.160006	猪队友
10743	9.665618	0.778626	一般般
70808	29.778763	1.084103	猪队友
72011	24.932976	0.632026	猪队友
5914	2.216246	0.587095	一般般
4851	9.305636	10.632317	神队友
23553	7.591889	10.686581	神队友
44952	23.424649	1.004504	猪队友
17934	0	0.147573	一般般
17738	3.533823	10.205324	神队友
19290	4.829528	10.23862	神队友
32330	6.492186	10.263499	神队友
36429	23.570968	0.832254	猪队友
39623	21.771228	0.207612	猪队友
32404	23.513921	0.991854	猪队友
27268	24.398172	0.975024	猪队友
5477	4.276823	1.174874	一般般
14254	5.946014	1.614244	一般般
68613	33.79897	0.724375	猪队友
31539	5.393591	11.663724	神队友
7917	3.007577	0.297302	一般般
21331	1.031938	0.486174	一般般
8338	4.751212	0.064693	一般般
5176	3.692269	1.655113	一般般
8983	5.448091	10.267652	神队友
68837	30.585786	0.329557	猪队友
13438	1.604501	0.069064	一般般
48849	23.679497	0.961466	猪队友
12285	3.795146	0.696694	一般般
7826	2.531885	1.659173	一般般
5565	9.73334	0.977746	一般般
10346	6.093067	1.413798	一般般
1823	7.71296	1.054927	一般般
-256	6.470364	10.760461	神队友
16857	2.886529	0.934416	一般般
29336	5.054373	11.138351	神队友
65230	29.97247	0.881876	猪队友
2463	2.335785	1.366145	一般般
17353	6.375155	11.528626	神队友
16191	0	0.605619	一般般
12258	4.126787	0.357501	一般般
42377	26.319522	1.058602	猪队友
15607	3.680527	10.086955	神队友
77450	34.856391	1.129823	猪队友
58732	22.454285	0.22238	猪队友
36426	2.292202	10.548607	神队友
22688	3.745137	10.857348	神队友
64890	28.579001	0.683048	猪队友
8554	2.507302	0.869177	一般般
18861	6.415476	11.505466	神队友
42050	24.83854	1.680892	猪队友
22193	5.339507	10.583646	神队友
64895	26.573742	1.151433	猪队友
2355	6.539397	0.462065	一般般
0	2.209159	0.723567	一般般
70406	31.196378	0.836326	猪队友
57399	24.229595	0.128253	猪队友
31732	4.505944	10.005273	神队友
1429	3.652725	11.348934	神队友
75270	37.101108	0.490712	猪队友
5459	7.871839	0.717662	一般般
73520	28.262131	1.361646	猪队友
30279	4.015635	11.658555	神队友
11540	4.215351	10.806762	神队友
17694	6.375007	0.033678	一般般
22329	22.262014	1.022169	猪队友
46570	25.67711	0.709469	猪队友
32403	6.293017	10.207976	神队友
33654	26.590043	1.353117	猪队友
9171	4.71196	0.194167	一般般
18122	3.768099	11.108041	神队友
24095	6.502519	10.545097	神队友
1774	4.682812	0.578112	一般般
30131	7.446578	10.300754	神队友
3994	7.908384	11.657722	神队友
77064	32.601108	0.974527	猪队友
11210	3.929456	0.025466	一般般
-3878	4.751503	11.18205	神队友
15341	3.043767	0.888168	一般般
44373	24.391522	0.8071	猪队友
18454	6.695276	10.679015	神队友
63771	27.879742	0.154263	猪队友
9217	5.613163	0.933632	一般般
69076	29.140172	0.8513	猪队友
24489	24.258644	0.206892	猪队友
16871	6.799831	1.221171	一般般
29776	3.752758	10.484418	神队友
